,lab,no_seats,simul_users,tot_no_sess,tot_no_users,hours_per_seat,sess_per_seat,avg_min_sess,tot_hrs_per_lab,date,type
222,acs-vilb3w,2,1,6,5,2.3,3,46,4.6,2014-08-03,Mac
223,acs-vilb6e,2,2,15,12,2.7,7,22,5.4,2014-08-03,Mac
224,acs-york1310,1,1,2,1,2.8,2,83,2.8,2014-08-03,Mac
225,acs-york3070,1,1,2,1,0.1,2,3,0.1,2014-08-03,Mac
2136,acs-vilb3w,1,1,8,7,3.0,8,22,3.0,2014-08-03,Windows
2137,acs-vilb6e,4,4,95,48,5.1,23,13,20.4,2014-08-03,Windows
2138,acs-wlh2212,2,1,2,2,0.4,1,24,0.8,2014-08-03,Windows
2139,acs-yh1146,1,1,1,1,10.0,1,600,10.0,2014-08-03,Windows
2140,acs-yh1344,2,2,3,2,10.1,1,603,20.2,2014-08-03,Windows
2141,acs-yh2332,1,1,3,1,3.8,3,75,3.8,2014-08-03,Windows
214,acs-may4623,1,1,1,1,0.1,1,7,0.1,2014-08-03,Mac
213,acs-may2326,3,2,6,4,0.1,2,3,0.3,2014-08-03,Mac
212,acs-may2306,6,5,10,9,1.8,1,109,10.8,2014-08-03,Mac
211,acs-may2130,7,6,26,22,3.1,3,62,21.7,2014-08-03,Mac
200,ALL-MAC,132,35,445,266,2.9,3,57,382.8,2014-08-03,Mac
201,acs-bml,5,4,17,14,5.9,3,117,29.5,2014-08-03,Mac
202,acs-cntr315,20,15,39,31,2.6,1,158,52.0,2014-08-03,Mac
2142,acs-yh2410,1,1,1,1,0.2,1,14,0.2,2014-08-03,Windows
2144,acs-yh3136,1,1,4,2,1.1,4,16,1.1,2014-08-03,Windows
203,acs-gh18a,3,1,4,2,0.1,1,4,0.3,2014-08-03,Mac
2134,acs-triton,28,21,836,522,5.1,29,10,142.8,2014-08-03,Windows
205,acs-glbw,18,11,96,56,6.8,5,81,122.4,2014-08-03,Mac
206,acs-hh1155,1,1,1,1,1.2,1,75,1.2,2014-08-03,Mac
207,acs-hss6033,1,1,12,7,1.3,12,6,1.3,2014-08-03,Mac
208,acs-manb114,6,2,16,4,2.9,2,86,17.4,2014-08-03,Mac
209,acs-manb206,2,1,3,1,0.5,1,29,1.0,2014-08-03,Mac
210,acs-may2110,2,1,2,1,0.0,1,1,0.0,2014-08-03,Mac
204,acs-gh18b,1,1,1,1,0.7,1,40,0.7,2014-08-03,Mac
2143,acs-yh2432,1,1,2,2,1.4,2,40,1.4,2014-08-03,Windows
