,lab,no_seats,simul_users,tot_no_sess,tot_no_users,hours_per_seat,sess_per_seat,avg_min_sess,tot_hrs_per_lab,date,type
2223,acs-ebu2-328,2,2,15,1,0.3,7,2,0.6,2014-12-14,Windows
2224,acs-ebu2-330,4,2,5,4,1.1,1,67,4.4,2014-12-14,Windows
2225,acs-ebu2-333,2,1,3,3,0.5,1,31,1.0,2014-12-14,Windows
2226,acs-ebu2-335,4,1,55,6,0.9,13,4,3.6,2014-12-14,Windows
2227,acs-ebu2-339,2,2,18,3,0.4,9,2,0.8,2014-12-14,Windows
2228,acs-ebu2-b035,2,2,15,1,0.2,7,1,0.4,2014-12-14,Windows
2229,acs-ebu3a108,1,1,1,1,0.1,1,5,0.1,2014-12-14,Windows
2230,acs-ebu3a161,23,11,81,51,6.1,3,122,140.3,2014-12-14,Windows
2203,ALL-VLAB,108,87,1927,672,13.5,17,47,1458.0,2014-12-14,Windows
2211,acs-csb115,30,17,157,90,8.6,5,102,258.0,2014-12-14,Windows
2210,acs-ccc,3,2,43,26,2.1,14,9,6.3,2014-12-14,Windows
2306,acs-sme143,9,2,11,6,0.7,1,40,6.3,2014-12-21,Windows
302,acs-vilb3w,1,1,1,1,0.0,1,2,0.0,2014-12-21,Mac
301,acs-sungod,5,3,11,7,1.5,2,46,7.5,2014-12-21,Mac
300,acs-pch264,4,1,7,3,0.9,1,56,3.6,2014-12-21,Mac
299,acs-may4623,2,2,2,1,0.1,1,7,0.2,2014-12-21,Mac
298,acs-may2326,1,1,1,1,10.0,1,600,10.0,2014-12-21,Mac
297,acs-manb114,4,3,6,3,2.1,1,123,8.4,2014-12-21,Mac
296,acs-hss6033,1,1,2,2,0.2,2,7,0.2,2014-12-21,Mac
295,acs-gl1w,3,1,4,3,0.9,1,56,2.7,2014-12-21,Mac
293,acs-cpmc207,1,1,1,1,10.0,1,600,10.0,2014-12-21,Mac
292,acs-cpmc205,1,1,1,1,10.0,1,600,10.0,2014-12-21,Mac
291,acs-cpmc204,10,10,11,2,0.1,1,6,1.0,2014-12-21,Mac
290,acs-cpmc201,1,1,1,1,10.0,1,600,10.0,2014-12-21,Mac
289,acs-blb,3,2,6,3,5.3,2,158,15.9,2014-12-21,Mac
288,ALL-MAC,41,16,59,30,1.2,1,71,49.2,2014-12-21,Mac
2308,acs-treetop,2,1,4,3,0.5,2,15,1.0,2014-12-21,Windows
2317,acs-yh3136,1,1,1,1,2.4,1,145,2.4,2014-12-21,Windows
2316,acs-yh2432,7,7,7,1,0.1,1,4,0.7,2014-12-21,Windows
2315,acs-yh2410,6,6,6,1,0.1,1,4,0.6,2014-12-21,Windows
2314,acs-yh1150,1,1,2,2,20.0,2,600,20.0,2014-12-21,Windows
2313,acs-wlh2211,3,3,4,3,2.5,1,152,7.5,2014-12-21,Windows
2312,acs-vilb4e,3,2,7,3,0.2,2,6,0.6,2014-12-21,Windows
2311,acs-vilb3w,2,2,24,5,0.1,12,0,0.2,2014-12-21,Windows
2307,acs-sungod,3,2,7,6,0.8,2,23,2.4,2014-12-21,Windows
2310,acs-va231,1,1,2,1,0.0,2,0,0.0,2014-12-21,Windows
2309,acs-triton,19,6,61,44,0.8,3,16,15.2,2014-12-21,Windows
303,acs-vilb4e,1,1,2,1,0.1,2,1,0.1,2014-12-21,Mac
304,acs-york1310,1,1,1,1,0.1,1,4,0.1,2014-12-21,Mac
294,acs-gh18a,2,1,2,1,0.4,1,21,0.8,2014-12-21,Mac
2305,acs-seq142,3,3,3,1,0.1,1,3,0.3,2014-12-21,Windows
2288,acs-bh1449,1,1,1,1,0.0,1,2,0.0,2014-12-21,Windows
2289,acs-csb115,1,1,2,2,0.1,2,1,0.1,2014-12-21,Windows
2290,acs-ebu2-203,4,1,6,4,0.4,1,21,1.6,2014-12-21,Windows
2291,acs-ebu2-239,2,1,2,1,0.0,1,0,0.0,2014-12-21,Windows
2292,acs-ebu3a161,1,1,1,1,0.1,1,7,0.1,2014-12-21,Windows
2293,acs-econ304,16,8,85,21,4.6,5,55,73.6,2014-12-21,Windows
2294,acs-erc117,1,1,2,1,0.0,2,1,0.0,2014-12-21,Windows
2287,acs-b349,1,1,1,1,0.1,1,4,0.1,2014-12-21,Windows
2299,acs-glbw,6,2,6,4,0.9,1,54,5.4,2014-12-21,Windows
2303,acs-may3574,1,1,1,1,0.5,1,31,0.5,2014-12-21,Windows
2302,acs-may3543,1,1,4,1,0.2,4,3,0.2,2014-12-21,Windows
2301,acs-irps,4,2,8,5,2.8,2,83,11.2,2014-12-21,Windows
2295,acs-gl1al,23,10,26,2,0.1,1,3,2.3,2014-12-21,Windows
2296,acs-gl1t,46,10,67,6,0.1,1,3,4.6,2014-12-21,Windows
2297,acs-gl1w,52,8,130,4,0.0,2,1,0.0,2014-12-21,Windows
2298,acs-gl2w,55,14,158,45,0.5,2,14,27.5,2014-12-21,Windows
2304,acs-nsb2303,1,1,2,1,0.0,2,0,0.0,2014-12-21,Windows
2286,acms-testvm,1,1,1,1,0.1,1,7,0.1,2014-12-21,Windows
2300,acs-hss6033,1,1,1,1,1.0,1,61,1.0,2014-12-21,Windows
2284,ALL-XP,316,34,871,289,0.5,2,14,158.0,2014-12-21,Windows
2285,acms-ga,38,8,228,129,3.3,6,33,125.4,2014-12-21,Windows
2283,ALL-VLAB,38,8,228,129,3.3,6,33,125.4,2014-12-21,Windows
314,acs-vilb4e,1,1,2,2,0.1,2,1,0.1,2014-12-28,Mac
2331,acs-vilb3w,2,1,5,5,0.3,2,8,0.6,2014-12-28,Windows
2330,acs-triton,1,1,1,1,1.2,1,74,1.2,2014-12-28,Windows
2329,acs-sme143,5,3,9,4,7.1,1,426,35.5,2014-12-28,Windows
2328,acs-erc117,2,1,4,2,1.4,2,42,2.8,2014-12-28,Windows
2327,acs-econ304,18,12,72,9,0.4,4,5,7.2,2014-12-28,Windows
2326,acs-ebu3a161,3,1,3,2,0.3,1,16,0.9,2014-12-28,Windows
2325,acs-ebu2-339,1,1,1,1,4.1,1,245,4.1,2014-12-28,Windows
2324,acs-ebu2-205,1,1,1,1,0.7,1,40,0.7,2014-12-28,Windows
2322,acs-csb115,1,1,1,1,1.4,1,84,1.4,2014-12-28,Windows
2321,acs-b349,1,1,2,1,0.1,2,1,0.1,2014-12-28,Windows
2320,acms-ga,28,8,287,137,4.8,10,28,134.4,2014-12-28,Windows
2319,ALL-XP,88,21,415,180,2.1,4,31,184.8,2014-12-28,Windows
2318,ALL-VLAB,28,8,287,137,4.8,10,28,134.4,2014-12-28,Windows
313,acs-vilb3w,2,1,2,2,0.0,1,2,0.0,2014-12-28,Mac
2332,acs-vilb4e,2,1,3,3,0.1,1,6,0.2,2014-12-28,Windows
2323,acs-ebu2-203,4,2,4,3,0.9,1,52,3.6,2014-12-28,Windows
312,acs-va228,1,1,3,1,7.6,3,152,7.6,2014-12-28,Mac
2334,acs-yh1146,3,1,4,3,10.0,1,600,30.0,2014-12-28,Windows
305,ALL-MAC,12,4,16,12,1.9,1,114,22.8,2014-12-28,Mac
306,acs-cpmc204,1,1,1,1,0.1,1,8,0.1,2014-12-28,Mac
2333,acs-wlh2211,5,5,7,5,2.6,1,154,13.0,2014-12-28,Windows
307,acs-gh18b,2,1,2,2,0.0,1,0,0.0,2014-12-28,Mac
308,acs-hss6033,1,1,1,1,3.0,1,178,3.0,2014-12-28,Mac
2335,acs-yh1322,3,3,3,1,10.0,1,600,30.0,2014-12-28,Windows
310,acs-pch264,1,1,1,1,0.1,1,7,0.1,2014-12-28,Mac
2338,acs-yh3136,1,1,1,1,0.1,1,3,0.1,2014-12-28,Windows
2337,acs-yh2410,1,1,1,1,0.8,1,49,0.8,2014-12-28,Windows
2336,acs-yh1344,6,6,6,1,10.0,1,600,60.0,2014-12-28,Windows
311,acs-rcl,1,1,2,1,0.8,2,23,0.8,2014-12-28,Mac
309,acs-may4623,2,2,2,1,1.4,1,85,2.8,2014-12-28,Mac
574,acs-gh18a,1,1,1,1,0.5,1,27,0.5,2015-01-04,Mac
573,acs-cpmc204,9,8,29,20,1.6,3,31,14.4,2015-01-04,Mac
572,acs-cpmc201,1,1,1,1,10.0,1,600,10.0,2015-01-04,Mac
571,acs-cntr315,24,15,130,82,3.2,5,38,76.8,2015-01-04,Mac
570,acs-blb,5,4,52,28,15.0,10,89,75.0,2015-01-04,Mac
575,acs-gh18b,10,7,45,28,2.4,4,36,24.0,2015-01-04,Mac
569,ALL-MAC,195,66,1809,1236,5.3,9,35,1033.5,2015-01-04,Mac
3005,acs-ebu2-205,26,10,86,37,0.6,3,12,15.6,2015-01-04,Windows
2999,acs-cseb220,21,9,75,51,2.4,3,48,50.4,2015-01-04,Windows
3000,acs-cseb250,1,1,3,3,0.1,3,2,0.1,2015-01-04,Windows
3001,acs-ebu2-107,1,1,2,2,0.2,2,7,0.2,2015-01-04,Windows
3002,acs-ebu2-121,2,2,6,4,3.1,3,61,6.2,2015-01-04,Windows
3003,acs-ebu2-127,1,1,1,1,0.9,1,54,0.9,2015-01-04,Windows
576,acs-gl1w,18,16,266,185,11.5,14,49,207.0,2015-01-04,Mac
3010,acs-ebu2-330,15,8,73,18,1.2,4,18,18.0,2015-01-04,Windows
3009,acs-ebu2-328,2,1,2,2,0.3,1,15,0.6,2015-01-04,Windows
3008,acs-ebu2-315,3,1,7,5,0.7,2,20,2.1,2015-01-04,Windows
3007,acs-ebu2-311,6,6,48,38,1.5,8,10,9.0,2015-01-04,Windows
3004,acs-ebu2-203,32,15,202,127,4.0,6,39,128.0,2015-01-04,Windows
3006,acs-ebu2-239,31,28,69,48,1.3,2,38,40.3,2015-01-04,Windows
577,acs-hss6033,1,1,17,9,3.8,17,13,3.8,2015-01-04,Mac
590,acs-sungod,9,9,384,292,19.5,42,27,175.5,2015-01-04,Mac
579,acs-manb206,38,26,181,167,4.1,4,61,155.8,2015-01-04,Mac
3024,acs-irps,10,8,231,103,6.4,23,16,64.0,2015-01-04,Windows
3025,acs-may2544,15,15,259,207,8.8,17,31,132.0,2015-01-04,Windows
3026,acs-may2722,4,2,11,4,0.2,2,7,0.8,2015-01-04,Windows
3027,acs-may3543,1,1,4,2,0.3,4,4,0.3,2015-01-04,Windows
3028,acs-may3544,6,4,25,12,3.1,4,46,18.6,2015-01-04,Windows
3029,acs-may3574,9,9,35,17,6.1,3,122,54.9,2015-01-04,Windows
3030,acs-moms,3,3,216,117,4.0,72,3,12.0,2015-01-04,Windows
3023,acs-hss6033,2,2,44,22,4.9,22,13,9.8,2015-01-04,Windows
3031,acs-nsb1303a,1,1,2,1,1.2,2,36,1.2,2015-01-04,Windows
3033,acs-nsb2303,29,10,111,58,1.7,3,33,49.3,2015-01-04,Windows
3034,acs-nsb2311,1,1,1,1,10.0,1,600,10.0,2015-01-04,Windows
3035,acs-nsb2319,1,1,1,1,10.0,1,600,10.0,2015-01-04,Windows
3036,acs-osb10,1,1,1,1,0.6,1,33,0.6,2015-01-04,Windows
3037,acs-pch104,7,4,82,42,0.8,11,4,5.6,2015-01-04,Windows
3038,acs-rcl,1,1,91,76,5.8,91,3,5.8,2015-01-04,Windows
3039,acs-rh228,1,1,3,3,0.5,3,9,0.5,2015-01-04,Windows
3032,acs-nsb1313a,5,5,6,1,10.0,1,602,50.0,2015-01-04,Windows
3040,acs-rimac,3,3,106,78,12.2,35,20,36.6,2015-01-04,Windows
3022,acs-gl2w,55,41,2224,1233,11.0,40,16,605.0,2015-01-04,Windows
3020,acs-gl1t,45,25,805,404,7.3,17,25,328.5,2015-01-04,Windows
2998,acs-csb115,27,15,94,55,1.0,3,19,27.0,2015-01-04,Windows
2997,acs-ccc,3,3,80,40,1.7,26,3,5.1,2015-01-04,Windows
2996,acs-b349,26,25,325,196,7.8,12,39,202.8,2015-01-04,Windows
2995,acs-apm3432,38,14,260,146,2.8,6,27,106.4,2015-01-04,Windows
2994,acs-apm3402,25,18,117,71,1.6,4,23,40.0,2015-01-04,Windows
2993,acms-mae,1,1,1,1,10.0,1,600,10.0,2015-01-04,Windows
2992,acms-ga,82,60,1745,825,10.5,21,30,861.0,2015-01-04,Windows
3021,acs-gl1w,54,28,632,321,5.6,11,30,302.4,2015-01-04,Windows
2991,ALL-XP,985,285,14632,6085,5.2,14,22,5122.0,2015-01-04,Windows
3013,acs-ebu2-339,1,1,4,2,8.9,4,134,8.9,2015-01-04,Windows
3014,acs-ebu2-b035,1,1,1,1,10.0,1,600,10.0,2015-01-04,Windows
3015,acs-ebu3a161,27,26,211,102,5.2,7,44,140.4,2015-01-04,Windows
3016,acs-econ100,19,9,171,95,3.6,9,23,68.4,2015-01-04,Windows
3017,acs-econ304,17,11,113,46,4.9,6,48,83.3,2015-01-04,Windows
3018,acs-erc117,29,29,333,188,5.9,11,32,171.1,2015-01-04,Windows
3019,acs-gl1al,25,17,479,254,8.5,19,26,212.5,2015-01-04,Windows
2990,ALL-VLAB,83,60,1746,826,10.4,21,29,863.2,2015-01-04,Windows
3041,acs-seq142,25,20,163,113,4.1,6,41,102.5,2015-01-04,Windows
3042,acs-sme143,46,42,616,330,6.1,13,28,280.6,2015-01-04,Windows
3043,acs-sungod,9,8,549,346,21.6,61,21,194.4,2015-01-04,Windows
3066,acs-yh3136,1,1,16,13,11.2,16,42,11.2,2015-01-04,Windows
3067,acs-yh4124,15,13,30,28,2.7,2,80,40.5,2015-01-04,Windows
594,acs-york1310,1,1,1,1,0.1,1,5,0.1,2015-01-04,Mac
593,acs-vilb4e,2,2,24,20,4.0,12,20,8.0,2015-01-04,Mac
592,acs-vilb3w,2,2,142,106,7.8,71,6,15.6,2015-01-04,Mac
591,acs-va228,6,3,13,9,1.6,2,48,9.6,2015-01-04,Mac
589,acs-rimac,3,3,74,58,9.0,24,22,27.0,2015-01-04,Mac
3065,acs-yh3020,9,4,13,9,1.3,1,78,11.7,2015-01-04,Windows
588,acs-rh228,4,2,10,7,0.6,2,17,2.4,2015-01-04,Mac
586,acs-raza,8,7,88,55,4.8,11,26,38.4,2015-01-04,Mac
585,acs-pch440,3,1,5,3,2.2,1,132,6.6,2015-01-04,Mac
584,acs-pch264,21,8,170,103,4.3,8,32,90.3,2015-01-04,Mac
583,acs-pch240,1,1,2,2,0.1,2,2,0.1,2015-01-04,Mac
582,acs-osb10,1,1,7,5,1.0,7,8,1.0,2015-01-04,Mac
581,acs-may4623,23,18,59,42,2.3,2,69,52.9,2015-01-04,Mac
580,acs-may2326,1,1,1,1,1.1,1,67,1.1,2015-01-04,Mac
587,acs-rcl,1,1,105,84,10.5,105,5,10.5,2015-01-04,Mac
3064,acs-yh2432,7,7,48,27,5.8,6,58,40.6,2015-01-04,Windows
3063,acs-yh2410,7,7,38,22,5.4,5,64,37.8,2015-01-04,Windows
3062,acs-yh2332,1,1,1,1,8.3,1,499,8.3,2015-01-04,Windows
3044,acs-treetop,13,11,803,277,10.8,61,10,140.4,2015-01-04,Windows
3045,acs-triton,27,25,2235,1334,19.7,82,14,531.9,2015-01-04,Windows
3046,acs-usrsrvs,1,1,3,3,0.0,3,0,0.0,2015-01-04,Windows
3047,acs-va228,1,1,1,1,1.4,1,87,1.4,2015-01-04,Windows
3048,acs-va231,1,1,1,1,10.0,1,600,10.0,2015-01-04,Windows
3050,acs-vilb4e,4,4,124,78,6.8,31,13,27.2,2015-01-04,Windows
3051,acs-wlh2211,15,14,146,95,11.9,9,79,178.5,2015-01-04,Windows
3052,acs-wlh2212,17,11,49,17,3.0,2,88,51.0,2015-01-04,Windows
3053,acs-wlh2213a,14,13,24,12,1.4,1,83,19.6,2015-01-04,Windows
3054,acs-wlh2214,3,2,11,7,1.8,3,35,5.4,2015-01-04,Windows
3055,acs-wlh2215,14,14,49,38,5.2,3,104,72.8,2015-01-04,Windows
3056,acs-wlh2216,3,3,5,3,0.2,1,9,0.6,2015-01-04,Windows
3057,acs-wlh2217a,6,4,17,5,0.8,2,23,4.8,2015-01-04,Windows
3058,acs-wlh2217c,4,3,4,1,0.1,1,3,0.4,2015-01-04,Windows
3059,acs-yh1146,6,4,6,2,10.0,1,600,60.0,2015-01-04,Windows
3060,acs-yh1150,1,1,1,1,10.0,1,600,10.0,2015-01-04,Windows
3061,acs-yh1344,2,1,2,2,0.0,1,2,0.0,2015-01-04,Windows
578,acs-manb114,2,2,2,2,0.0,1,0,0.0,2015-01-04,Mac
3049,acs-vilb3w,2,2,251,174,10.0,125,4,20.0,2015-01-04,Windows
3012,acs-ebu2-335,13,6,21,3,0.0,1,2,0.0,2015-01-04,Windows
3011,acs-ebu2-333,2,2,7,6,0.8,3,16,1.6,2015-01-04,Windows
2825,acs-yh4124,14,9,27,23,1.5,1,88,21.0,2015-01-11,Windows
2749,acms-ga,140,117,4868,1798,20.5,34,36,2870.0,2015-01-11,Windows
2750,acs-apm3402,23,19,97,71,3.9,4,58,89.7,2015-01-11,Windows
2751,acs-apm3432,41,16,340,185,3.9,8,28,159.9,2015-01-11,Windows
2752,acs-b349,27,25,698,435,18.9,25,45,510.3,2015-01-11,Windows
2753,acs-bh1449,1,1,1,1,0.1,1,5,0.1,2015-01-11,Windows
2754,acs-ccc,3,3,125,54,2.2,41,3,6.6,2015-01-11,Windows
2755,acs-courtrm,7,7,148,3,0.3,21,0,2.1,2015-01-11,Windows
2756,acs-csb115,26,14,78,50,1.7,3,33,44.2,2015-01-11,Windows
2757,acs-cseb220,26,6,79,53,2.6,3,52,67.6,2015-01-11,Windows
2758,acs-cseb250,1,1,10,7,0.6,10,3,0.6,2015-01-11,Windows
2759,acs-ebu2-107,1,1,8,5,5.8,8,43,5.8,2015-01-11,Windows
2760,acs-ebu2-121,5,5,36,22,7.6,7,65,38.0,2015-01-11,Windows
2761,acs-ebu2-203,33,30,532,262,14.8,16,55,488.4,2015-01-11,Windows
2762,acs-ebu2-205,26,13,312,174,5.7,12,28,148.2,2015-01-11,Windows
2763,acs-ebu2-239,32,24,314,144,5.8,9,38,185.6,2015-01-11,Windows
2764,acs-ebu2-311,6,6,61,44,18.6,10,111,111.6,2015-01-11,Windows
2765,acs-ebu2-315,6,2,19,12,0.5,3,9,3.0,2015-01-11,Windows
2766,acs-ebu2-330,14,10,49,13,0.0,3,0,0.0,2015-01-11,Windows
2767,acs-ebu2-333,2,2,4,3,4.6,2,138,9.2,2015-01-11,Windows
2768,acs-ebu2-339,2,1,2,2,0.1,1,8,0.2,2015-01-11,Windows
2769,acs-ebu2-b035,1,1,1,1,0.0,1,2,0.0,2015-01-11,Windows
2770,acs-ebu3a108,10,10,29,29,1.6,2,47,16.0,2015-01-11,Windows
2771,acs-ebu3a161,25,20,175,113,5.7,7,49,142.5,2015-01-11,Windows
2772,acs-econ100,20,11,245,137,6.5,12,32,130.0,2015-01-11,Windows
2773,acs-econ304,18,9,146,48,3.6,8,27,64.8,2015-01-11,Windows
2774,acs-erc117,30,26,400,229,8.3,13,38,249.0,2015-01-11,Windows
2748,ALL-XP,1085,466,23483,8073,9.9,21,28,10741.5,2015-01-11,Windows
2747,ALL-VLAB,140,117,4868,1798,20.5,34,36,2870.0,2015-01-11,Windows
506,acs-york1310,1,1,1,1,0.3,1,18,0.3,2015-01-11,Mac
505,acs-vilb4e,2,2,52,37,10.4,26,24,20.8,2015-01-11,Mac
485,acs-hss6033,1,1,19,11,3.2,19,10,3.2,2015-01-11,Mac
484,acs-gl1w,18,18,379,256,19.5,21,55,351.0,2015-01-11,Mac
483,acs-gh18b,12,6,45,31,2.5,3,50,30.0,2015-01-11,Mac
482,acs-gh18a,1,1,1,1,1.1,1,63,1.1,2015-01-11,Mac
481,acs-cpmc207,1,1,1,1,10.0,1,600,10.0,2015-01-11,Mac
480,acs-cpmc204,10,10,61,28,3.9,6,38,39.0,2015-01-11,Mac
479,acs-cntr315,25,18,173,105,4.1,6,40,102.5,2015-01-11,Mac
478,acs-blb,5,3,35,25,10.9,7,93,54.5,2015-01-11,Mac
477,ALL-MAC,253,91,2790,1810,7.3,11,39,1846.9,2015-01-11,Mac
488,acs-may2110,7,7,42,41,6.4,6,64,44.8,2015-01-11,Mac
489,acs-may2130,2,1,2,2,0.5,1,32,1.0,2015-01-11,Mac
490,acs-may2306,1,1,1,1,0.1,1,6,0.1,2015-01-11,Mac
2775,acs-gl1al,25,16,659,369,10.9,26,25,272.5,2015-01-11,Windows
491,acs-may2326,3,2,3,2,0.0,1,1,0.0,2015-01-11,Mac
493,acs-mgh2116,1,1,3,1,5.0,3,100,5.0,2015-01-11,Mac
494,acs-osb10,1,1,3,2,0.5,3,10,0.5,2015-01-11,Mac
495,acs-pch240,17,16,37,33,0.2,2,5,3.4,2015-01-11,Mac
496,acs-pch264,24,10,256,144,5.8,10,34,139.2,2015-01-11,Mac
497,acs-pch440,1,1,4,1,6.0,4,89,6.0,2015-01-11,Mac
498,acs-raza,8,6,109,71,6.0,13,27,48.0,2015-01-11,Mac
499,acs-rcl,1,1,191,152,14.9,191,4,14.9,2015-01-11,Mac
500,acs-rh228,2,2,9,6,0.9,4,13,1.8,2015-01-11,Mac
501,acs-rimac,3,3,107,80,12.4,35,21,37.2,2015-01-11,Mac
502,acs-sungod,9,9,452,357,19.4,50,23,174.6,2015-01-11,Mac
503,acs-va228,20,19,67,52,3.4,3,67,68.0,2015-01-11,Mac
504,acs-vilb3w,2,2,175,128,8.9,87,6,17.8,2015-01-11,Mac
492,acs-may4623,25,19,132,53,4.5,5,53,112.5,2015-01-11,Mac
487,acs-manb206,38,25,334,294,10.9,8,81,414.2,2015-01-11,Mac
2776,acs-gl1t,46,32,1201,598,11.7,26,26,538.2,2015-01-11,Windows
2778,acs-gl2w,55,44,2509,1359,18.7,45,24,1028.5,2015-01-11,Windows
2804,acs-triton,27,25,2366,1399,24.4,87,16,658.8,2015-01-11,Windows
2805,acs-usrsrvs,1,1,7,7,0.3,7,2,0.3,2015-01-11,Windows
2806,acs-va228,4,4,7,7,10.4,1,624,41.6,2015-01-11,Windows
2777,acs-gl1w,54,30,1380,649,8.7,25,20,469.8,2015-01-11,Windows
2808,acs-vilb3w,2,2,302,206,10.7,151,4,21.4,2015-01-11,Windows
2809,acs-vilb4e,4,4,165,93,4.4,41,6,17.6,2015-01-11,Windows
2810,acs-wlh2211,15,15,316,228,25.5,21,72,382.5,2015-01-11,Windows
2811,acs-wlh2212,20,20,376,136,18.4,18,61,368.0,2015-01-11,Windows
2812,acs-wlh2213a,15,13,236,138,13.5,15,53,202.5,2015-01-11,Windows
2813,acs-wlh2214,5,5,77,59,9.9,15,39,49.5,2015-01-11,Windows
2814,acs-wlh2215,15,13,206,160,13.9,13,63,208.5,2015-01-11,Windows
2815,acs-wlh2216,5,4,23,11,7.8,4,117,39.0,2015-01-11,Windows
2816,acs-wlh2217a,9,6,32,11,1.8,3,36,16.2,2015-01-11,Windows
2817,acs-wlh2217c,4,3,29,19,6.5,7,56,26.0,2015-01-11,Windows
2818,acs-yh1146,2,2,4,2,18.8,2,564,37.6,2015-01-11,Windows
2819,acs-yh1344,3,2,4,4,0.2,1,15,0.6,2015-01-11,Windows
2820,acs-yh2332,1,1,3,2,7.8,3,155,7.8,2015-01-11,Windows
2821,acs-yh2410,7,7,53,28,13.3,7,114,93.1,2015-01-11,Windows
2822,acs-yh2432,7,7,45,24,19.4,6,194,135.8,2015-01-11,Windows
2823,acs-yh3020,14,5,26,16,1.1,1,65,15.4,2015-01-11,Windows
2824,acs-yh3136,1,1,17,11,10.8,17,38,10.8,2015-01-11,Windows
2803,acs-treetop,12,10,1126,334,5.2,93,3,62.4,2015-01-11,Windows
2802,acs-sungod,9,9,648,412,22.3,72,18,200.7,2015-01-11,Windows
2807,acs-va231,1,1,3,3,0.7,3,13,0.7,2015-01-11,Windows
2800,acs-seq142,24,13,233,115,5.1,9,33,122.4,2015-01-11,Windows
2779,acs-hh1155,1,1,1,1,10.0,1,600,10.0,2015-01-11,Windows
2780,acs-hss6033,2,2,35,20,3.5,17,12,7.0,2015-01-11,Windows
2781,acs-irps,10,6,203,95,4.0,20,11,40.0,2015-01-11,Windows
2782,acs-may2544,15,15,209,185,21.9,13,100,328.5,2015-01-11,Windows
2783,acs-may2574,1,1,1,1,0.1,1,5,0.1,2015-01-11,Windows
2801,acs-sme143,49,45,1067,348,22.3,21,63,1092.7,2015-01-11,Windows
2784,acs-may2722,3,2,15,8,0.7,5,7,2.1,2015-01-11,Windows
2785,acs-may3543,1,1,1,1,0.1,1,7,0.1,2015-01-11,Windows
2786,acs-may3544,6,6,30,11,2.8,5,33,16.8,2015-01-11,Windows
2787,acs-may3574,9,8,26,15,5.5,2,165,49.5,2015-01-11,Windows
2788,acs-moms,3,3,377,196,7.0,125,3,21.0,2015-01-11,Windows
486,acs-manb114,12,12,96,79,3.3,8,24,39.6,2015-01-11,Mac
2790,acs-nsb1303a,1,1,4,2,20.1,4,301,20.1,2015-01-11,Windows
2791,acs-nsb1313a,1,1,1,1,10.0,1,600,10.0,2015-01-11,Windows
2792,acs-nsb2303,36,10,142,67,2.3,3,46,82.8,2015-01-11,Windows
2793,acs-nsb2311,3,2,7,5,1.7,2,50,5.1,2015-01-11,Windows
2794,acs-nsb2319,1,1,1,1,0.4,1,24,0.4,2015-01-11,Windows
2799,acs-rimac,3,3,115,84,22.1,38,34,66.3,2015-01-11,Windows
2798,acs-rh228,1,1,5,4,0.5,5,5,0.5,2015-01-11,Windows
2797,acs-rcl,1,1,200,152,12.7,200,3,12.7,2015-01-11,Windows
2796,acs-pch104,8,5,182,85,1.6,22,4,12.8,2015-01-11,Windows
2795,acs-osb10,1,1,2,2,1.1,2,32,1.1,2015-01-11,Windows
2789,acs-nsb1103a,2,2,2,2,10.0,1,600,20.0,2015-01-11,Windows
526,acs-pch264,24,10,280,162,9.3,11,50,223.2,2015-01-18,Mac
527,acs-pch440,2,2,4,2,4.4,2,133,8.8,2015-01-18,Mac
530,acs-rh228,3,2,7,6,0.6,2,18,1.8,2015-01-18,Mac
529,acs-rcl,1,1,160,121,12.2,160,4,12.2,2015-01-18,Mac
531,acs-rimac,3,3,71,57,10.0,23,26,30.0,2015-01-18,Mac
532,acs-sungod,9,9,384,310,20.1,42,28,180.9,2015-01-18,Mac
533,acs-va228,20,17,57,45,2.9,2,88,58.0,2015-01-18,Mac
534,acs-vilb3w,2,2,165,129,9.3,82,6,18.6,2015-01-18,Mac
535,acs-vilb4e,2,2,45,34,8.3,22,22,16.6,2015-01-18,Mac
528,acs-raza,8,8,104,59,5.9,13,27,47.2,2015-01-18,Mac
536,acs-york1310,1,1,3,1,2.1,3,41,2.1,2015-01-18,Mac
2902,acs-yh2410,7,7,61,27,13.8,8,103,96.6,2015-01-18,Windows
2858,acs-gl1w,54,51,1140,633,12.6,21,36,680.4,2015-01-18,Windows
2870,acs-nsb1303a,1,1,1,1,10.0,1,600,10.0,2015-01-18,Windows
2869,acs-nsb1111,1,1,1,1,10.0,1,600,10.0,2015-01-18,Windows
2868,acs-nsb1103a,2,2,6,3,0.1,3,1,0.2,2015-01-18,Windows
2867,acs-moms,3,3,340,208,6.0,113,3,18.0,2015-01-18,Windows
2866,acs-may3574,9,6,39,14,6.8,4,102,61.2,2015-01-18,Windows
2865,acs-may3544,7,5,26,11,5.3,3,105,37.1,2015-01-18,Windows
2864,acs-may2722,5,3,42,29,0.9,8,6,4.5,2015-01-18,Windows
2863,acs-may2574,1,1,1,1,0.0,1,1,0.0,2015-01-18,Windows
2862,acs-may2544,15,15,182,160,22.5,12,112,337.5,2015-01-18,Windows
2861,acs-irps,10,9,189,96,3.2,18,10,32.0,2015-01-18,Windows
2860,acs-hss6033,2,2,23,16,3.1,11,17,6.2,2015-01-18,Windows
2859,acs-gl2w,55,51,2168,1208,19.5,39,29,1072.5,2015-01-18,Windows
2857,acs-gl1t,46,39,1143,588,14.1,24,35,648.6,2015-01-18,Windows
